text_id,text,mention,offset,kb_id
28,新三板论坛注意到，3月24日晚间，即在万人调查实施做市的第二天，公司披露年报显示，2014年实现营业收入1594万元，同比增长38%,万人调查,19,73
29,动力；2、成长性民参军：高德红外。景气度纵向传导：1、中上游央企龙头：航天电器、中航光电、中航机电、航天发展；2、成长性民参军：光威复材、景嘉微、亚光科技。点击查看>>>百万股民都在看这些公司研报行,航天发展,50,13
30,核心所在，也是行业发展逻辑。其次，今年中南建设提出了“5U+”产品战略，涵盖优智慧、优健康、优绿色、优生活、优品质5大主题内容。中南建设5U+，是中南地产融合旗下全国30个城市50个楼盘近30万业主家,优生活,50,-1
31,人工智能投融资白皮书发布智能家居、机器人融资金额靠前,机器人,17,-1
32,资股；及按人民币20亿元的总认购价不超过约2.51亿股新内资股调整至2.50亿股新内资股。同时，海南海航基础拟以不超人民币4亿元认购不超5012.53万股新内资股调整至5000万股新内资股。此外，经董,海航基础,50,114
33,"长23.79%；归属于上市公司股东的净利润171,629,633.46元，同比增长295.29%。航天工程24日晚间发布三季报，公司前三季实现营收725,638,374.06元，同比增长23.79%",航天工程,49,182
34,"华泰证券表示,从买方反馈来看,国内机构认为,投资增速已筑底,主板和中小创的盈利趋势还将继续分化,A股结构性行情还将持续,会关注消费白马龙头;海外客户对A股的判断仍然是以绩优为美,以确定性为美,以龙头为美,愿意给业绩的确定性和交易流动性以溢价",华泰证券,0,156
35,人梁文全之间签订的编号为中交银保字第3120447号的《最高额保证合同》担保。2014年9月5日，紫丁香有限与交通银行股份有限公司中山分行签订《流动资金借款合同》（中交银贷字第0140618号），约,紫丁香,49,248
36,极易给企业带来损失，事实上这也是让消费者颇多诟病的一环，应引起业界关注。不久前被指“伪造拒签信”的中青旅，又遭消费者在网上吐槽代办入台证时可能出现申报资料“造假”。11月12日北京商报记者发现，名为,中青旅,49,88
37,回复显示，中介机构在核查中发现，因保荐机构、发行人律师无法与北信瑞丰资产-工商银行-北信瑞丰资产盛世新视野1号专项资产管理计划取得有效联系与沟通，无法判断该“三类股东”是否符合《指导意见》的相关规定。,新视野,50,-1
38,18年6月底，澎湃新闻记者在南阳走访时，社旗县一位投资人也讲述了与李丽类似的情况，“2015年6月，黄河文化基金会住社旗办事处业务员找到我，让我在基金会存款，月息1分2，我投了5万，然后基金会给我了张,黄河文化,50,-1
39,扣除非经常性损益后的净利润（万元）分别为-32.64万元、94.23万元以及-13.91万伯格森（北京）科技股份有限公司挂牌申请文件第二次反馈意见的回复19元，不存在最近两年及一期持续亏,伯格森,45,298
40,长城汽车(02333)转让蜂巢能源进一步促进电池业务独立发展及市场化运营,长城汽车,0,155
41,华阳国际(002949)在互动平台上表示，目前公司与华为的合作项目主要是新基地、办公楼的设计。（文章来源：证券时报网）(责任编辑：DF376),新基地,36,-1
42,"设备销售、系统设计、系统集成及相关技术服务，采取直销的模式。商业模式、收入分类、产品科技含量与伯格森类似13833956三和生物15,433.16295,202.49310,635.",伯格森,47,298
43,"3月8日,明药堂、花嫁丽舍、山水股份、海南沉香等12家新三板公司完成募资4.25亿元;递家物流、正安维视、泰林股份、斯芬克司等8家新三板公司的定增预案通过董事会批准",海南沉香,19,235
44,他店里的沉香大多是进口过来的，现在国内的沉香价格要比国外沉香高出十几倍，尤其是海南沉香基本上绝迹了，出价再高也未必能够买到,海南沉香,39,-1
45,"----24日合计2,859,819.00382,859,819.0018-在新生力处于有限公司的阶段，由于公司治理机制不健全，没有对关联交易事项制定规范具体的制度，存在控股股东",新生力,39,310
46,竞争性领域，有利于加快推进。以北京为例，北京住总集团公司、北京房地产集团公司、北京首都旅游集团公司、北京城乡商业集团公司、首钢总公司、北京汽车集团公司等，都属于房地产、旅游、商业、钢铁等领域，这些领域,北京城乡,50,140
47,目前持有天夏智慧股票占其总股本的比例为4.68%。根据天夏智慧2019年一季报披露的十大股东情况，太平洋证券拍得天夏智慧第三大股东北京浩泽嘉业投资有限公司5114.4万股后，持股比例可排至天夏智慧,太平洋,49,148
48,、证监会关于独立董事制度的有关规定等内容，以促使辅导对象更好地掌握相关的法规和知识，切实履行职责。城市纵横的董事会、监事会成员、独立董事及其它高管人员和持有公司5%以上股份的股东及实际控制人参加了考,城市纵横,49,268
49,机场航运板块早盘集体拉升，截至发稿，白云机场领涨逾3%，吉祥航空、中国国航、上海机场涨逾2%，南方航空、中信海直、东方航空、春秋航空等涨,白云机场,18,75
50,一百二十六、(000753)漳州发展：子公司福建华兴漳发创业投资有限公司变更委托管理2010年10月，漳州发展与福建大同创业投资有限公司、福建科能电子科技开发有限公司共同出资设立福建华兴漳发创业投资有限公司（以下简称“创投公司”）,漳州发展,14,32
51,环境保护目标完成情况的调研报告》显示，一些整改难度大、成本高、牵扯多方面的突出问题整改进展缓慢。如，太阳城项目破坏生态问题，该项目规划调整方案至今尚未审批，导致规划无法及时报批实施，将直接影响问题整改,太阳城,50,-1
52,，其中13岁以下青少年占比46%；非洲正在成为关注深度游、品质游的中国游客首选目的地。通过对近五年中青旅遨游网赴非洲游客的订单数据、以及近半年用户在遨游网针对“非洲”、“动物大迁徙”、“文化遗产”等,中青旅,49,-1
53,上市公司发布的关于旗下企业有登陆科创板意向的相关消息，更是导致其股价连续上涨。11月16日，上市公司西安旅游在其披露的《股票交易异常波动公告》中称，公司参股的红土公司在新材料、高端装备制造、节能环保、,西安旅游,50,20
54,量，紧随其后是国航，停飞15架737MAX8。根据Flightradar24公布的机场配置数据，广州白云机场、乌鲁木齐地窝堡机场、北京首都国际机场分别以15架、12架、10架的数量居于全国前三位。在民,白云机场,50,-1
55,出口端的机械设备和电子产品，河南凭借“铁、公、机”多式联运的交通枢纽优势实现“买全球卖全球”。河南黑蜘蛛信息技术有限公司是一家跨境电商企业，它已经将中国的机电设备、建筑设备等产品销往60多个国家，主,黑蜘蛛,49,-1
56,和业务合作模式。曹清华是谁？事实上，“神药”背后的研制人曹清华也陷入了质疑的漩涡。2015年10月，阿房宫在公开转让说明书中称，本公司薏辛除湿止痛胶囊是由是国内著名的风湿骨病权威专家、中国中医药学会类,阿房宫,50,255
57,院士JoeG.N.Garcia、广州医科大学王新华校长及上百位国内外著名肺血管病诊疗专家的见证下，白云山金戈再次捐赠一批金戈枸橼酸西地那非片(价值不少于126万元)，助力更多的肺动脉高压患者重拾健康,白云山,49,103
58,港交所权益资料显示，山东黄金(01787-HK)被HarvestFundManagementCo。，Ltd。于6月,山东黄金,10,115
59,，跌幅1.16%，成交额459亿元。【涨停个股分析】1、国防军工：天海防务、博云新材、中航高科、航天通信、安达维尔、长城军工。国防军工板块早盘强势拉升，大飞机、国产航母、通用航空等细分概念板块均,航天通信,48,130
60,为2533.61万元、2299.25万元和1006.87万元。区间统计，11月14日-12月21日，太阳能累计跌幅达到22.13%，股价从最高7.60元逐渐下探至最低5.47元，不过上周五该股受到机构,太阳能,50,17
61,利3.04亿，0.61%yoy，营收稳步增长，归母净利略有上升。休闲食品供给与需求稳定发展。供给侧农产品原料供给稳定，休闲食品供给结构不断升级，为休闲食品行业提供了稳定的原料资源。需求侧国民经济发展,农产品,49,-1
62,”沿线国家在建项目226个，合同额309亿美元，有力带动了“中国标准”“中国制造”走出去。 (原标题中国化学工程签订俄最大甲醇项目实施协议) (责任编辑：DF506),中国化学,50,149
63,动力；2、成长性民参军：高德红外。景气度纵向传导：1、中上游央企龙头：航天电器、中航光电、中航机电、航天发展；2、成长性民参军：光威复材、景嘉微、亚光科技……【点击查看全文】制造行业：国产客机开始批量,航天发展,50,13
64,金麒麟签订60MWp发电工程承包合同,金麒麟,0,181
65,，确保茶叶中茶氨酸、醚浸出物、还原糖、氨糖、全果酸、叶绿素等内含物质得到较大提高，比芽茶更为丰富。“绿宝石”由从事茶叶工作六十多年的贵州著名茶专家牟应书先生指导、牟春林先生花费三年时间精心研制出品。采,绿宝石,50,-1
66,公告称，该公司与其控股股东广药集团达成协议，拟以13.89亿受让广药集团所持王老吉系列注册商标。广药白云山表示，此举将进一步保证公司资产完整性，增强市场竞争力。知名商标“王老吉”系列共420项商标专,白云山,50,103
67,县126个乡镇的检查任务，受益人数10万人次，查出2000余名视力残疾患儿，全部得到规范治疗。 赣州启明星眼科医院院长刘其生从专业角度更加详细地告诉我们：以前是青光眼和白内障居多，现在随着生活水平的提,启明星,50,-1
68,张的融资通道。销售高增长于2018年，正荣地产除了积极深耕长三角区及海峡西岸区，公司也积极在中西部、环渤海及大湾区进行业务布局。至今，公司于六大区域的布局已基本形成，其中超过80%的销售贡献来自1、2,环渤海,50,-1
69,饮用水有限公司成立前期账面有闲置资金，由于双方为关联方关系，因此将闲置资金拆借给百夫长使用，该款项百夫长已于2014年偿还完毕；2014年由于广元市汇源饮用水有限公司业务拓展，需要经营流动资金，因此,百夫长,40,314
70,前股价涨势已经有所减弱，个股分化严重。有公司与“独角兽”撇清关系据悉，昨天深交所要求独角兽概念股创业黑马、宣亚国际两家公司披露：是否存在应披露未披露的重大信息；基本面是否发生重大变化等情况。其中，,创业黑马,48,61
71,【新股与次新股】壹网壹创、震安科技、国联股份、中科软点评：次新股的上涨主要源于两方面：一方面，新股中签率低，吸引资金爆炒,中科软,23,63
72,有趣的天体，比如“葫芦娃星系”TRAPPIST-1。在这一排七个类地行星中，有三颗位于宜居带。而开普勒从2009年到2013年收集的海量数据，直到2017年才全部整理完成。它找到的候选行星共计40,开普勒,48,-1
73,构股东均把桂林航空旅游集团的部分股权质押给了银行。据工商登记资料，桂林航空旅游集团有效股权质押中，桂林旅游发展总公司共有3笔，全部出质给民生银行桂林分行，出质股权总数额52920.64万元；海航旅游,桂林旅游,49,-1
74,北京举行的一场发布会上推出其新的云数据库产品，最初将瞄准国内市场，希望通过这一产品从老牌美国科技巨头甲骨文抢走部分云数据库市场份额。华为的新云数据库产品“专注于让企业客户能够使用人工智能管理自己的数据,甲骨文,50,-1
75,分包，己方于5月20日发现了这一情况，于当天发函要求整改，并在6月5日与永利捷解除了劳务分包合同。葛洲坝电力还在通报中表示，“为显示央企担当”，会拆除重建已施工的1.5公里电力排管工程。7月3日，,葛洲坝,49,-1
76,已有多家主流媒体报道称，知情人透露，王伟林与王栋实际为叔侄关系，而王伟林是上海滩有名的资本玩家。在与华丽家族达成这笔生意后，王栋自立山头。2012年4月，王栋从另一资本运作高手中路股份实控人、时任董事,华丽家族,50,111
77,本市场的表现可知，今年上半年，拥有养鸡业务的上市公司，股价业绩双双“闻鸡起舞”。圣农发展、温氏股份、新希望三强角逐在已披露业绩预报的41家公司中，只有3家公司预计今年上半年净利润将超过10亿元，分别是,新希望,50,37
78,G科技’产品把准了行业进步的绿色航向，释放出科技创新的强大力量。在4月初的第十五届国际绿建大会上，葛洲坝地产董事长何金钢向外界展示了这家央企近年来的绿建实践。由国际、国内顶级智囊团组成的“5G科技,葛洲坝,49,-1
79,名誉会长周刚感谢浙江大学代表团为华人子弟送来了回国学习和深造的机会。他希望如果有可能，浙江大学可以在佛罗伦萨设置海外分校，为华侨华人子女提供更多的学习机会。周刚的提议立即赢得了在场侨领的一致赞许。据悉,佛罗伦萨,50,-1
80,租赁副总经理李文言在接受澎湃新闻采访时也提到，作为上海自贸区的“同龄公司”，平安租赁的快速发展受益于陆家嘴营商环境的提升，政府在减轻企业负担、缓解融资困境、提升企业核心竞争力等方面都进行了支持。“如果,陆家嘴,50,-1
81,被冻结额度约为2.13亿元，实际被冻结金额2.24万元，公司股票有被实施其他风险警示的可能。据了解，西藏发展11月21日收到浙江省杭州市中级人民法院送达的关于与浙江阿拉丁控股集团有限公司(以下,西藏发展,50,31
82,市土地市场持续回暖。在3月召开的业绩会上，多数房企都表示了2019年主要的投资重心会聚焦一二线城市。阳光城、雅居乐、金茂、正荣等企业都明确提出聚焦一二线城市。而从实际拿地数据来看，今年一季度万科共新,阳光城,50,23
83,6月25日天津港地区#441硅价格下调,天津港,5,-1
84,具警示函的行政监管措施，并记入资本市场诚信信息数据库。观点地产新媒体了解到，2017年4月15日，海航基础披露《关于与关联方确定互保额度的公告》，称公司拟与公司股东海航实业集团有限公司(以下简称海航,海航基础,49,114
85,溧阳白茶正式开采天目湖白茶拍出18.8万,天目湖,8,-1
86,无二的客户体验上完美结合。我坚信，三亚嘉佩乐度假酒店将成为中国奢华度假酒店的最亮名片。近年来，中国葛洲坝地产研发并推广“5G科技”体系，成功引领国内高端绿色健康人居领域。我们以创造适合现代人居发展方,葛洲坝,49,-1
87,光伏太阳能板块龙头公司上涨光伏平价上网项目加速推进,太阳能,2,-1
88,”。分支扩张和外延式并购预期较强，“内生+外延”双轮驱动下仍将保持快速增长，我们早已申明并再次申明将中国医药作为首推品种，维持买入-A投资评级。6个月目标价为40.00元，相当于2018年26倍的动态,中国医药,50,82
89,帮助山民销售，还能宣传助力垃圾分类工作，让菜篮子买菜成为金华市民朋友的新时尚。——红领达人秀，带动新生活7月6日中午，婺城垃圾分类红领达人秀活动拉开序幕，百余名红领新青年参加。红领新青年们五人一组,新生活,49,-1
90,营表现欠佳的公司而言，年末变卖资产突击调节利润虽不失为一支“速效剂”，但难免引发监管关注。今日，针对航天通信分批多次转让一笔资产的交易，上交所发出问询函，重点关注这笔股权转让背后的真实动机。（上海证券,航天通信,50,130
91,银保渠道业务规模曾在中国人寿业务中占比最大，合作的银行网点数最高时近10万，之后受银保政策影响及主动调整，银保渠道的业务规模一直在压缩,中国人寿,10,154
92,备节能、资源利用等各环节进行技术创新，推动绿色港口建设及周边环境的生态保护。”此前在接受媒体采访时，盐田港集团党委书记、董事长童亚明介绍道。要实现“航行更安全，海洋更清洁，港口更绿色”，管理好船的动,盐田港,50,-1
93,）甘肃省统计部门26日发布了该省2018年经济发展的“成绩单”。相关数据显示，2018年甘肃省汲取祁连山生态问题教训，聚焦绿色发展，当年甘肃省十大生态产业增加值比上年增长6.7%。2018年初，甘肃,祁连山,49,-1
94,，该笔融资券的起息日为2018年2月27日，兑付日为同年8月24日，发行面值为100元。据观点地产新媒体过往报道，2018年1月9日厦门国贸发行了2018年度第一期超短期融资券，期限为251日，起息,新媒体,49,-1
95,需求，医院可根据自己需求提出要求，例如从一楼到七楼要运送什么东西、时效性要求如何，公司根据上述要求给机器人规划路径，之后就是具体实施操作。以输液包配送为例，“诺亚”的工作程序一般为：首先，负责配药的,机器人,50,-1
96,港口板块午后异动连云港收获涨停,连云港,8,145
97,个项目已处于“预售许可预告”状态，预售价格均超过11万元/平方米。其中，中国府即为2015年10月葛洲坝以7.5万元的历史最高楼面价取得的樊家村地块，该楼面价至今仍保持着北京土地出让单价纪录。此外,葛洲坝,49,83
98,合。公司上半年完成以风帆公司为主的化学动力板块优化重组整合。在完成低速柴油机业务整合之后，今年6月，中国动力收购中船重工下属的陕柴重工和重齿公司，在中高速柴油机和齿轮传动领域积极运作，整合外部产能，减,中国动力,50,109
99,度正式上市。这款壮阳药还先后获得中国医药产业科技创新成果巡礼奖、第二十届中国专利奖优秀奖。事实上，白云山是拥有66年历史的广药集团旗下上市公司，母公司广药集团连续七年位居全国制药工业百强榜第一，在2,白云山,49,103
100,商及律师补充核查上述事项是否影响整体变更。主办券商回复：依据2016年8月6日兴华会所出具《关于成功之道（北京）教育科技股份有限公司整体变更完成后基准日净资产变动的说明》，该说明中兴华会所依据公,成功之道,48,301
101,文明试验区。受此利好信息的影响，5月13日，海南板块开盘走强，览海投资直线封板，海南瑞泽、海南高速、大东海A纷纷走强。值得一提的是，近一年来，海南板块频频受到了市场投资者的瞩目且存在着定期性的上扬趋势,大东海,50,21
102,军工品种爆发，大飞机、十大军工集团、航母、通用航空、军民融合等概念受到市场关注，航天科技、航天长峰、航天通信、烽火电子、中航高科等一批股票集体涨停。立足当下，广发证券认为，“春季躁动”今年还需再等待，,航天通信,50,130
103,：0.41%成交量：3903手成交额：568.57万元主力净流入：-1.32万元  5月30日，XD金麒麟盘中跌幅达5%，截至9点57分，报14.2元，成交568.57万元，换手率0.41%。注：以上,金麒麟,50,181
104,创投和园区类公司活跃 鲁信创投、中关村涨停,中关村,16,43
105,，能够在一定程度上对交易风险进行规避。（原标题：券商PB业务传统优势日渐式微寄望“算法交易”铸造新赛点）(责任编辑：DF305),新赛点,48,-1
106,。但同时，随着南城的商业项目不断增加，大兴大悦春风里也将面临更大的竞争压力。记者在走访时看到，随着王府井百货大兴店的闭店，火神庙商业中心显得较为冷清。记者从指示牌上看到，火神庙商业中心是由A、B、C,王府井,49,-1
107,中青旅布局“旅游+”大消费市场,中青旅,0,88
108,《中国电影投融资调研报告（2019）》发布：近78%的金融机构涉足电影信贷或相关业务,中国电影,1,143
109,10月16日，湖北木兰花家政服务股份有限公司（831229）在全国中小企业股份转让系统（即“新三板”）发布公开转让说明书，拟挂牌新三板,木兰花,9,194
110,同比增长83.66%；基本每股收益0.51元，拟每10股派发现金红利0.6元。服务器坐稳全球前三浪潮信息是浪潮集团旗下主营服务器业务的上市平台。公司经过数十年技术积累，成为国内乃至全球的服务器行业,浪潮信息,48,44
111,签署销售代理协议，协议约定，公司按照门票款8%向统一旅游公司支付代理费，代理费由统一旅游公司从收取的火焰山门票款中扣除。统一旅游公司股权结构如下：序号股东姓名出资额（万元）持股比例（%）1,火焰山,50,-1
112,努力推动形成资本市场双向开放新格局，以开放促改革，以开放促发展。（原标题：尔康制药现重大会计差错新国都等停设小贷公司）(责任编辑：DF305),新国都,48,55
113,上大单资金抢筹，合计吸金1.03亿元。业绩面上，目前有7家休闲服务行业上市公司披露了2018年年报，西安旅游(618.64%)、西安饮食(181.66%)、*ST云网(143.81%)等3家公司报告期,西安旅游,50,20
114,中国从小发展到大靠的是科技，如今要想由大到强更要靠科技。”翟立新说。 站在改革开放40年的门槛上，“中关村人”对未来充满信心。 (责任编辑：DF078),中关村,50,-1
115,的为配合公司开展电子商务业务，同时协议对公众账号的使用、限制及违约责任进行了明确的约定。虽然“赤水市好生活网络服务经营店”个体工商户的设立主体为公司员工，但是在该个体工商户的设立及公众号的注册、使用、,好生活,50,318
116,0.5元/公斤江苏常州宣塘桥水产品交易市场2019-07-11武昌鱼19.8元/公斤湖北浠水市城北农产品批发大市场2019-07-11武昌鱼22元/公斤新疆乌鲁木齐北园春批发市场(责任编辑：DF,农产品,49,-1
117,2.00元，跌7.99%；鲁银投资报5.90元，跌6.94%；九鼎投资报24.70元，跌6.90%；城市传媒报8.40元，跌5.62%。注：以上信息仅供参考，不对您构成任何投资建议。,城市传媒,50,93
118,长白山控股股东四度质押股份，股份质押比例上升至22%,长白山,0,170
119,2月28日午后，西藏板块异动拉升，截至发稿，高争民爆、西藏发展涨超4%，西藏天路、西藏城投等纷纷跟涨。（文章来源：证券时报）(责任编辑：DF120),西藏发展,27,31
120,一站在2011年网站上线之后所坚持的。以客户为核心设计网站，以客户为核心，持续做优化。业务铁三角。新一站推进业务发展包括三部分：直营服务、渠道合作与科技赋能。直营服务方面，首先要让客户能选择到，才有,新一站,49,293
121,目前作为中高端品类的青花汾酒毛利率达85%以上，作为基础产品的“玻汾”毛利率为60%以上，两类产品在山西汾酒营收中的占比均超过20%。2019年，汾酒的营收目标是增长20%以上，其中青花系列的战略是“,山西汾酒,50,138
122,同时，该项目更是首开以政府主导、商业运作提供资金保障下的创新安全教育载体，属全国首创,创新安全,28,-1
123,4.08点。两市成交5660亿元，上日成交5625亿元。上市公司方面，多家企业宣布终止设立小贷公司。新国都22日晚间公告，为响应互联网金融风险专项整治工作领导小组办公室于2017年11月21日下发的特,新国都,50,55
124,才，进一步强化公司的设计能力和时尚资源。东方集成是指将非洲资源、欧美智力、亚洲制造强强联合，整合进龙头股份的品牌升级中，促使其发挥更高效率。而这种对国际一流资源的集成能力也考验着王卫民等管理层的智慧,龙头股份,49,-1
125,纷提出新零售战略目标，加速布局并展开交锋态势。两年多以来，以阿里、腾讯、京东、苏宁等为代表的电商巨头合纵连横，纷纷笼络各方资源，发力线下布局，新技术、新物种、新玩法不断涌现，零售行业出现多年未见的风起,合纵连横,50,-1
126,长城汽车计划5年将哈弗海外销量占比从2%提升至20%,长城汽车,0,155
127,糖、白砂果酥糖、芝麻、糖馅层次清晰，香甜可口。百合粉（1.36%）、食用盐百合粉、燕陇萃堂袋麦片、米粉、1.选用优质可食用甜百合。装百合餐芝麻、低聚2.产品原料天然，口感醇正,陇萃堂,42,-1
128,司更是在房地产开发中大赚特赚。“但发展过程中的高杠杆融资埋下了隐患。”该人士称，近期这些风险爆发也使西藏发展牵涉其中。另一个关键人物是西藏水资源的实控人王健(后改名为王坚)。根据本报记者调查，1997,西藏发展,50,31
129,8%至77.12亿元，归属于上市公司股东的净利润增长27.51%至5.72亿元，均创业绩新高。此外，太平鸟购物中心门店总数突破1700家，零售额33.86亿元，占总零售额的30.11%，同比增长20%,太平鸟,50,-1
130,1件，重15.9千克。广州海关按照海关总署统一部署启动了打击走私“国门利剑2019”联合专项行动。在白云机场空港旅检口岸，以信息化手段打造“智慧旅检”，建成覆盖进出境托运行李的后台行李预检系统，配合R,白云机场,50,-1
131,部分赌注都放在了日本企业会在订单增加后追加投资上。2014年，日本的《周刊SPA！》甚至还做了一个女优生活专题，来证明安倍经济学没让普通人看到希望。除非在短时期内经济形势能让日本企业、特别是中小企业下,优生活,50,-1
132,未来也会围绕电竞内容和资讯，推出电竞专区和频道。张炜表示，依托智慧运营驱动“文娱+”的战略思路，后续东方明珠将还依托1.9亿覆盖用户，通过“多渠道”持续开发，推动线上全媒体平台以及梅赛德斯奔驰文化中心,东方明珠,50,125
133,4月1日9点58分，太阳能板块指数报1405.09点，涨幅达2%，成交77.86亿元，换手率0.58%。  板块个股中，,太阳能,10,-1
134,径，航天科工集团资产证券化率为29.1%，处于较低水平。随着军工科研院所改制、混合所有制改革的推进，航天发展作为航天科工集团资本运作平台承接相关资产。筑造电子蓝军、网络信息安全、微系统技术三大核心。,航天发展,50,13
135,"亚太股份(002284):弯道超车,未来国际ADAS巨头",未来国际,18,-1
136,项目，直接激发了政界强烈反应，导致奥尼尔被执政党“逼宫”、遭反对党抨击。事实上，在奥尼尔的领导下，巴新天然气出口收入“不足以”提振该国经济。国际货币基金组织在一份报告中指出，巴新2017年国内生产总值,新天然气,50,-1
137,"摘要 “南京熊猫”发布业绩预告。公司预计2018年年度实现归属于上市公司股东的净利润为16,107万元到18",南京熊猫,4,135
138,认：“百特光电将积极办理环评验收手续，因未办理环评验收手续受到的任何行政处罚，由百特光电自行承担，与新生力无关”，百特光电控股股东已出具《确认函》，确认：“将督促百特光电办理环评验收手续，因未及时办理,新生力,50,310
139,小二’，想要把浦东做成营商环境最好的区域”，过志英说。从软实力上看，为进一步服务企业，2019年来陆家嘴管理局把相关政策扶持批量受理的开始时间，由以往的5月份提前到3月初，大大压缩了内部审批时间。对,陆家嘴,49,-1
140,木兰花家政称，家政、清洁和社区养老服务等，构成了公司主营业务,木兰花,0,194
